OS,Hash,Round,RawTimes
Aws,blake2b,round1,"[44934703, 120636421, 415051906, 53520626, 51622025, 91586364, 169566478, 10615533, 119740652, 124016249, 32560691, 2739956, 33577540, 94702536, 97123442]"
Aws,blake2b,round2,"[7945856, 245742699, 47715514, 99645483, 136668630, 40531924, 12679497, 42367388, 184901634, 456178123, 91245614, 217073770, 185852611, 40580316, 277793802]"
Aws,blake2b,round3,"[723023, 110908919, 32225624, 83264648, 13741175, 81906335, 3570611, 61393773, 177760515, 6373043, 27020129, 385147410, 207747930, 57144612, 12968701]"
Aws,blake2b,round4,"[134709122, 45754969, 86216739, 42655083, 39015387, 119545256, 289152293, 76072263, 95399001, 107635524, 102165599, 428641423, 63048076, 255394989, 16671443]"
Aws,blake2b,round5,"[96819434, 111706702, 35385041, 25141534, 4024718, 46542272, 81109901, 116632167, 30456052, 492675, 7609872, 100553653, 57413781, 222626273, 14629930]"
Aws,blake2b,round6,"[33364910, 165749085, 25668375, 76631036, 90560642, 7255716, 52905335, 16884632, 382083486, 50045452, 281970237, 250002259, 349237900, 25211132, 29809679]"
Aws,blake2b,round7,"[322485446, 38851130, 103324880, 74054624, 70640007, 47707035, 145982922, 122032209, 127719797, 32726190, 89310691, 130222400, 140683692, 70762538, 9670077]"
Aws,blake2b,round8,"[147181825, 158165320, 166075593, 106591959, 269972755, 42701175, 18476261, 137744928, 17367714, 30219712, 41843783, 27119692, 32153885, 102069411, 114215534]"
Aws,blake2b,round9,"[77602416, 110655939, 62001382, 27327123, 14858452, 135424812, 147178172, 174528496, 155519843, 141369588, 44898843, 44113179, 2255392, 14292785, 21124709]"
Aws,blake2s,round1,"[128344015, 33281911, 70755846, 53955899, 264434728, 48836995, 25702083, 108419752, 62551313, 274464811, 215884486, 106348779, 173556391, 356451852, 115384082]"
Aws,blake2s,round2,"[31265475, 28167375, 29445349, 250084578, 35028853, 4687012, 90496398, 98374754, 44619185, 20538651, 134098546, 16828464, 30736681, 44344038, 25396431]"
Aws,blake2s,round3,"[30388723, 106982077, 115463477, 77910617, 111804032, 64367457, 29369417, 16204657, 143410935, 146756726, 169870898, 155706329, 137326064, 44393065, 42951335]"
Aws,blake2s,round4,"[2923360, 14087518, 23321892, 76709720, 37800049, 5839242, 135358219, 17638397, 37725755, 7658427, 127655735, 224743572, 48748235, 51668326, 92409534]"
Aws,blake2s,round5,"[66538728, 129246022, 33325606, 70662686, 56264608, 266468275, 47275467, 27827635, 107735829, 64179381, 277023185, 214403438, 103239313, 172912980, 355865714]"
Aws,blake2s,round6,"[115107728, 33163781, 26788954, 28911939, 250021503, 35145083, 5408922, 87077719, 102849242, 45879748, 18717918, 136575658, 17216188, 31782307, 41490878]"
Aws,blake2s,round7,"[25711541, 30491596, 100839233, 112407811, 77325407, 112391553, 64605965, 28475104, 15139923, 141435880, 146148660, 175076106, 152318318, 142805834, 46118766]"
Aws,blake2s,round8,"[44130806, 2218854, 14243305, 21691037, 82858936, 36736602, 5061381, 136707045, 17738868, 39454323, 7071844, 125866084, 227492225, 49508718, 50161120]"
Aws,blake2s,round9,"[88841298, 69490607, 124877189, 34909052, 69275014, 53636159, 264711882, 48953972, 28089864, 104499567, 64626637, 279108958, 215997355, 107061609, 170441047]"
Aws,blake3,round1,"[99283733, 35450931, 365657163, 176193098, 260174489, 227159453, 96468999, 123061171, 50806843, 9706893, 13951728, 81949942, 30887744, 181484818, 400693387]"
Aws,blake3,round2,"[130472064, 14450862, 117281845, 224453084, 133319958, 173023149, 230979656, 58346335, 148226045, 75785396, 51707220, 69574446, 92820942, 178670, 58029226]"
Aws,blake3,round3,"[246893260, 9829599, 166239787, 8112531, 138042227, 58225226, 147789742, 35708165, 236639050, 56401286, 96661245, 12850660, 43831725, 121205515, 108308182]"
Aws,blake3,round4,"[132486111, 73522900, 136819609, 13628610, 169546786, 57053716, 96955236, 188700370, 49482550, 49440583, 71093621, 6987233, 144051391, 138687722, 215324235]"
Aws,blake3,round5,"[113716612, 89449053, 15395600, 79379904, 215735923, 269208972, 30021855, 173172826, 41509240, 188054571, 109174478, 6426644, 10136221, 7070655, 10295930]"
Aws,blake3,round6,"[60164273, 43793714, 274016192, 201080169, 124375452, 16027052, 157173133, 32592406, 635537620, 55118495, 35118546, 187209377, 61376373, 147591912, 33469565]"
Aws,blake3,round7,"[16386065, 94989599, 6032501, 9847563, 181283789, 128056229, 10328866, 20804305, 109760444, 64752710, 71398960, 13834067, 39590910, 57699571, 10407471]"
Aws,blake3,round8,"[200547809, 187578919, 106957435, 59897251, 175882256, 87216771, 307574988, 11293648, 43167044, 119961959, 24538551, 325319266, 4788680, 32616322, 87814562]"
Aws,blake3,round9,"[170391069, 17140653, 118824833, 5754966, 17687278, 31600358, 184007189, 10242195, 117615184, 19663467, 13459662, 139170468, 130747291, 17002703, 33979204]"
Aws,sha256,round1,"[80236134, 37962664, 5168455, 140608807, 18571343, 38341228, 6770671, 126549066, 223311961, 49236815, 50500437, 86672638, 68777022, 125135876, 35167702]"
Aws,sha256,round2,"[71200231, 55924230, 266669224, 47956848, 27644979, 110635838, 63786597, 275778970, 212120427, 102169987, 173079717, 355187948, 112093169, 31386265, 26817353]"
Aws,sha256,round3,"[30682245, 248931079, 30844850, 5024261, 91403631, 99375835, 46515889, 18966581, 133451753, 17045032, 29406977, 44951221, 25167044, 31195101, 102660876]"
Aws,sha256,round4,"[112206469, 79410511, 110123757, 64686559, 30378208, 14195816, 135730850, 144390402, 174441403, 153522088, 140849219, 45163203, 44128973, 2145274, 13094202]"
Aws,sha256,round5,"[20152675, 79468286, 40321187, 6055002, 135109488, 16075228, 37954591, 7082453, 125949285, 224793685, 46511852, 50213250, 93015778, 71867670, 130451691]"
Aws,sha256,round6,"[32369627, 71138338, 53546052, 266729038, 47344593, 28511671, 105412547, 64699473, 275747141, 219109713, 102615455, 178276674, 350994410, 114201528, 30970993]"
Aws,sha256,round7,"[27622234, 29719340, 246480877, 35399498, 5328385, 89807599, 102392317, 47043672, 18194113, 135969282, 16262709, 30922654, 41265752, 24702788, 32989913]"
Aws,sha256,round8,"[102764440, 112499538, 83139680, 112481743, 63092868, 27740313, 14763373, 133707390, 148726584, 180264721, 155220120, 141516510, 44554833, 44668721, 3041405]"
Aws,sha256,round9,"[14449199, 21169704, 78998812, 38553073, 5615866, 141774658, 16276431, 37139811, 7716115, 121944746, 225400210, 49994814, 52710892, 90514409, 65645236]"
Aws,sha512,round1,"[353285089, 114135060, 30410565, 27875339, 30290533, 249138651, 34750624, 5078492, 90753579, 100808877, 43800800, 18890171, 136455459, 15364061, 31928793]"
Aws,sha512,round2,"[42593858, 24432547, 31426271, 102546411, 117603365, 77493682, 117312784, 66864216, 29319884, 14536165, 136940654, 145512870, 171121346, 152326400, 138420096]"
Aws,sha512,round3,"[44814031, 43377483, 2982830, 15409496, 20417728, 76835735, 38375976, 4879326, 134712654, 17367578, 39625919, 8437050, 123005652, 226516829, 49717466]"
Aws,sha512,round4,"[50814970, 89274083, 68320932, 124760523, 33864323, 73019095, 54802362, 270652375, 49076018, 29440561, 109573377, 67947654, 288456359, 220731886, 106112994]"
Aws,sha512,round5,"[179482061, 353595218, 117069789, 32579150, 27515015, 31176551, 244055817, 34587599, 4543604, 88232322, 99474468, 44415505, 18030782, 139348634, 17082569]"
Aws,sha512,round6,"[30248846, 43655669, 24950092, 30632445, 103738176, 114411444, 79855987, 114326294, 64800748, 28619720, 13991464, 142319892, 147128518, 171632450, 156832369]"
Aws,sha512,round7,"[143000745, 46141271, 41107173, 2177598, 14659384, 20910019, 78664375, 37823582, 6401481, 138525895, 16598679, 41598282, 7015835, 126061229, 231076313]"
Aws,sha512,round8,"[49743264, 50754072, 88857949, 65497137, 129526762, 35144573, 70332361, 56807033, 270911450, 47839407, 27782491, 108859015, 63073625, 275214490, 210121186]"
Aws,sha512,round9,"[105288853, 171751805, 352516036, 114579100, 30638998, 27237148, 30847362, 247519480, 33994681, 5488889, 87511466, 100533090, 47889523, 17808876, 138287441]"
Linux,blake2b,round1,"[20379155, 56798979, 206722072, 25089853, 24628157, 44074603, 81761892, 4883365, 59538009, 59037623, 13169950, 779114, 15610757, 38630109, 44987791]"
Linux,blake2b,round2,"[3382308, 120764874, 21805518, 53663793, 66875342, 18943290, 4822433, 17565406, 94014932, 218271429, 38447750, 105077673, 88636044, 16247194, 139843245]"
Linux,blake2b,round3,"[328423, 56397367, 17172854, 42996991, 12548112, 38248788, 1625229, 26354045, 83197233, 2379783, 10460531, 186615931, 100757397, 24886137, 5439559]"
Linux,blake2b,round4,"[67055961, 21825605, 42188700, 18407801, 18070058, 55784613, 144447690, 38097041, 47476242, 55212088, 41041024, 196923643, 28783571, 117547499, 9186623]"
Linux,blake2b,round5,"[44766944, 53805056, 14723754, 10841680, 2194482, 24172155, 40935958, 50512351, 14207083, 233699, 2898761, 50065216, 28239484, 108959952, 6465292]"
Linux,blake2b,round6,"[13791238, 84522213, 10602758, 32818553, 42973593, 2773362, 27438571, 7620956, 193493686, 24106442, 131058788, 117581496, 163550755, 10642708, 13455870]"
Linux,blake2b,round7,"[163417582, 18868566, 49417318, 34978395, 31093061, 18295768, 66725111, 65863253, 57569246, 13504741, 40100562, 63648367, 63398226, 32596909, 4354342]"
Linux,blake2b,round8,"[73279385, 71057524, 78556109, 52191343, 129976453, 21194843, 8436153, 69378483, 6357626, 13643787, 20141286, 10094894, 12570319, 44950206, 51651188]"
Linux,blake2b,round9,"[35825367, 52507391, 30960956, 13287587, 6473687, 68783795, 72432473, 90004674, 75676815, 67131356, 18622891, 17851784, 1161182, 8209695, 8161191]"
Linux,blake2s,round1,"[54987913, 15168943, 31518738, 23655337, 131269593, 21683517, 12561592, 48857470, 28353485, 122747227, 96425509, 53427830, 74653888, 159602325, 55715775]"
Linux,blake2s,round2,"[14724695, 10664899, 12130578, 118988078, 14650500, 2219640, 38816045, 46169213, 19209859, 10345160, 63938109, 7520187, 12694795, 17441126, 11147446]"
Linux,blake2s,round3,"[12969347, 56341726, 53982063, 42461009, 49400673, 28326452, 11673337, 6082662, 64834547, 62417330, 79474293, 70570602, 73075272, 21483888, 18689221]"
Linux,blake2s,round4,"[2519117, 6628246, 9414995, 35887121, 18775950, 2177364, 69845826, 7438722, 18935385, 3023080, 64460773, 109057006, 22331957, 23094341, 41655156]"
Linux,blake2s,round5,"[28526227, 57159546, 14429743, 32866736, 22317148, 125084073, 21475995, 11612091, 51313492, 29433440, 131784777, 103415171, 47585873, 78499848, 158086168]"
Linux,blake2s,round6,"[53472318, 14572351, 12453576, 12995151, 119563934, 13817976, 2303231, 38119371, 51614614, 21406276, 7585712, 71329694, 6785660, 17694856, 19761647]"
Linux,blake2s,round7,"[11718351, 14844492, 50778412, 57547773, 42745589, 50007430, 27040972, 11360349, 6562372, 67583715, 77783055, 80214008, 73620069, 73199360, 22341337]"
Linux,blake2s,round8,"[18200909, 1183855, 7605695, 9954992, 41859172, 19526568, 2229420, 72562385, 6724206, 18536417, 2952810, 63316768, 117077750, 23045529, 24894993]"
Linux,blake2s,round9,"[47320488, 31432084, 64431389, 15965065, 31735999, 25382867, 135691800, 23079838, 10975010, 51217862, 33555231, 128360012, 99520478, 50098615, 84828233]"
Linux,blake3,round1,"[41844486, 18457927, 181980874, 77440862, 112382599, 107572541, 43562828, 54432377, 22033733, 3670493, 6751113, 38195179, 13172914, 78371089, 189452994]"
Linux,blake3,round2,"[63087404, 8776604, 51592447, 100297576, 57988372, 78146841, 105565257, 26146213, 74560851, 34409012, 21374047, 32684543, 39320923, 82990, 25683682]"
Linux,blake3,round3,"[115277907, 4011059, 78420842, 3389252, 67031466, 28325059, 66124881, 17504734, 117292221, 30064485, 48180867, 6104654, 22474007, 58107089, 52435750]"
Linux,blake3,round4,"[58968901, 33969865, 63590870, 5971327, 82430362, 25205809, 45217365, 89675223, 20603988, 23821540, 29267466, 2606258, 66946063, 58767508, 106848672]"
Linux,blake3,round5,"[51297857, 39030857, 6128907, 38036791, 96479268, 125411302, 11771595, 79558592, 18855372, 92747930, 55294173, 2349255, 4276210, 2489884, 4020530]"
Linux,blake3,round6,"[29447436, 21112903, 122516519, 102765424, 64872805, 6235308, 73206693, 16328341, 307346633, 30556307, 19562582, 96886675, 33135141, 62488688, 15175821]"
Linux,blake3,round7,"[7263674, 43083261, 4642160, 4563307, 89895097, 62883534, 4479192, 8366672, 54607108, 31109455, 33303315, 4883573, 23949560, 26939675, 4099791]"
Linux,blake3,round8,"[89908293, 91544063, 54575118, 26792604, 85968112, 40269009, 144923054, 5885242, 18779988, 54418917, 13578025, 164651709, 2319949, 15727167, 45759461]"
Linux,blake3,round9,"[77560500, 7318731, 55515392, 2469947, 8477376, 15122502, 88198202, 4232456, 57490248, 9951882, 6478085, 66025698, 67012765, 7221357, 15827398]"
Linux,sha256,round1,"[37595001, 19225828, 2473025, 68683746, 10040007, 17659282, 2874989, 55165812, 109435434, 21299365, 20536874, 45845565, 30373670, 59867194, 19230765]"
Linux,sha256,round2,"[33168422, 23597933, 126610366, 23326817, 12566743, 55063380, 30680947, 142590116, 96556761, 44809324, 82456303, 167739601, 48039584, 15380859, 12593024]"
Linux,sha256,round3,"[13129475, 123318418, 14213773, 2647067, 43342339, 45511890, 20136562, 7403697, 62744587, 6760239, 12956641, 19290076, 13246888, 13718571, 50778766]"
Linux,sha256,round4,"[47890050, 40729840, 66090768, 29719264, 11133412, 6335056, 64582331, 65731555, 81544506, 71217745, 66032577, 21046774, 20890894, 1280619, 9606618]"
Linux,sha256,round5,"[8830971, 34322051, 16819234, 2160603, 63817455, 7124434, 16814974, 3224148, 61381660, 113943444, 21306798, 26259807, 46262892, 28950572, 60070665]"
Linux,sha256,round6,"[15320846, 31439412, 22473037, 124275537, 22216403, 15800751, 52934397, 27965811, 136547115, 109024956, 48449375, 77230026, 165016731, 53272761, 14008608]"
Linux,sha256,round7,"[12266773, 13751446, 118363494, 14251264, 2147941, 39875260, 42384254, 21189943, 7951784, 65192424, 6745173, 13799295, 18301239, 9487039, 12853770]"
Linux,sha256,round8,"[46060850, 52728029, 35340844, 50381119, 29603117, 12472848, 6037052, 64871600, 73374094, 79196235, 70046781, 65778582, 23613426, 18489253, 1612791]"
Linux,sha256,round9,"[5481164, 8919927, 36103364, 15802585, 2207419, 65451135, 6793511, 16791879, 3238538, 59723563, 104653687, 20435942, 21409114, 40327249, 30658368]"
Linux,sha512,round1,"[169010473, 49479594, 12935928, 12703170, 12073202, 123630523, 14897873, 2556360, 43128629, 48819366, 21780401, 8036376, 70768263, 7631780, 14999304]"
Linux,sha512,round2,"[20549198, 11404617, 15761399, 43742614, 51375653, 36840649, 59815432, 26443081, 10956808, 7953091, 67079627, 71994006, 91063779, 77701910, 72095794]"
Linux,sha512,round3,"[21887507, 24090553, 2863351, 8013271, 8549015, 35015379, 18131827, 4061425, 64568022, 6919271, 18760035, 3404952, 60260465, 109927944, 23140859]"
Linux,sha512,round4,"[20424470, 40262839, 33800148, 61073561, 15994851, 32806079, 24450250, 130249771, 22119815, 12440650, 47199129, 31020116, 129121620, 116576220, 48687456]"
Linux,sha512,round5,"[77410311, 160240432, 55696520, 14357026, 11812165, 13054888, 117906604, 15001511, 4745289, 45347271, 43381866, 20601351, 7987688, 67519426, 6540631]"
Linux,sha512,round6,"[15117135, 22775568, 10269140, 14848821, 53991487, 50111595, 36527207, 51053663, 31172295, 10949074, 6019384, 63145852, 73222343, 82726569, 76635171]"
Linux,sha512,round7,"[64229564, 20972176, 20624677, 1128589, 5965901, 9519549, 40512742, 15358564, 2324411, 65136852, 6719032, 17675450, 2985097, 60103822, 113780630]"
Linux,sha512,round8,"[25868208, 22199467, 43127034, 32383221, 60139493, 14840234, 31756600, 23725186, 124822832, 22509659, 12096388, 49684384, 27343191, 137326803, 104618288]"
